task_id,task_name,phase,dependency_ids,effort,estimated_hours,owner_role,priority,risk_level,notes,rationale
DIS-001,Define project goals and success metrics,Discovery / Scoping,,S,8,Project Lead,Critical,Medium,"What does done look like? How will we know it worked?","Establishes the north star for all subsequent decisions"
DIS-002,Identify key stakeholders and decision-makers,Discovery / Scoping,DIS-001,XS,2,Project Lead,High,Low,"Who needs to approve? Who is affected?","Prevents missing stakeholder surprises late in project"
DIS-003,Document requirements and constraints,Discovery / Scoping,DIS-002,M,16,Product / Project Lead,Critical,High,"Budget, timeline, tech stack, must-haves vs. nice-to-haves","Scope creep usually starts here if requirements are vague"
DIS-004,Assess risks and open questions,Discovery / Scoping,DIS-003,S,4,Project Lead,High,Medium,"Flag unknowns before planning begins","Risks identified early are 10x cheaper to address"
DES-001,Create task breakdown and dependency map,Design / Planning,DIS-003,M,16,Project Lead,Critical,Medium,"Break all work into concrete tasks with clear owners","Skipping this step is the most common reason projects run late"
DES-002,Estimate effort for each task,Design / Planning,DES-001,S,8,Team Lead,High,Medium,"Use XS/S/M/L/XL sizing. Add 20% buffer for unknowns.","Honest estimation prevents downstream schedule failures"
DES-003,Assign task owners and confirm availability,Design / Planning,DES-002,S,4,Project Lead,Critical,High,"Confirm people have capacity before assigning","Assuming availability is a top cause of missed deadlines"
DES-004,Stakeholder review and plan sign-off,Design / Planning,DES-003,XS,2,Project Lead,High,Low,"Get approval before execution begins","Prevents rework from stakeholder surprises during build"
DEV-001,Set up working environment and tooling,Development / Execution,DES-004,S,8,Tech Lead,High,Medium,"Repo, CI/CD, access, credentials, environments","Environment setup delays compound quickly"
DEV-002,Implement core functionality (P1 items),Development / Execution,DEV-001,L,40,Developer,Critical,High,"Build the most important features first","Delivers value early and surfaces hard problems sooner"
DEV-003,Internal demo or progress review,Development / Execution,DEV-002,XS,2,Project Lead,Medium,Low,"Checkpoint to catch direction issues early","Prevents 'big reveal' failures at end of project"
DEV-004,Integrate dependencies and external systems,Development / Execution,DEV-002,M,16,Developer,High,High,"APIs, third-party services, internal systems","External dependencies are the most common source of delays"
DEV-005,Implement secondary features (P2 items),Development / Execution,DEV-002,M,24,Developer,Medium,Low,"Build remaining features after P1 is solid",""
QA-001,Write and execute test cases,QA / Testing,DEV-005,M,16,QA Engineer,Critical,Medium,"Cover all key user flows and edge cases","Untested code ships bugs that cost 10x more to fix in production"
QA-002,User acceptance testing (UAT) with stakeholders,QA / Testing,QA-001,S,8,Project Lead,Critical,High,"Real users test real workflows","Stakeholder sign-off is typically required before launch"
QA-003,Bug triage and priority fixes,QA / Testing,QA-002,M,16,Developer,Critical,High,"Fix Critical and High bugs before launch","Low bugs can follow in next release"
LCH-001,Final approval and launch sign-off,Launch / Delivery,QA-003,XS,2,Stakeholder,Critical,High,"One final confirmation before going live","Non-negotiable gate — prevents premature launches"
LCH-002,Prepare and execute launch or deployment,Launch / Delivery,LCH-001,S,8,Tech Lead,Critical,High,"Have rollback plan ready","Rollback readiness is the single most important launch safety net"
LCH-003,Communicate launch to affected teams and users,Launch / Delivery,LCH-002,S,4,Project Lead,High,Medium,"Who needs to know? When? What action do they need to take?","Poor comms causes confusion and duplicate support tickets"
POST-001,Review success metrics vs. targets,Post-Launch / Review,LCH-003,S,4,Project Lead,High,Low,"Did we hit the goals set in DIS-001?","Closes the feedback loop — learning for the next project"
POST-002,Gather stakeholder and user feedback,Post-Launch / Review,POST-001,S,8,Product Lead,High,Low,"Survey, interviews, usage data","Qualitative signal catches problems metrics miss"
POST-003,Document lessons learned and archive artifacts,Post-Launch / Review,POST-002,S,4,Project Lead,Medium,Low,"What would we do differently?","Institutional knowledge captured here prevents repeated mistakes"
